LOCATION_NAME,TSN,LATITUDE,LONGITUDE,EFA_ID,PHONE,ADDRESS,FACILITIES,ACCESSIBILITY,TRANSPORT_MODE,MORNING_PEAK,AFTERNOON_PEAK,SHORT_PLATFORM
"Abbotsford Wharf",2046158,-33.84367442,151.1281726,10102011,,"Great North Rd, Abbotsford NSW 2046","Kiss and ride stopping area | Bike racks | Toilets | Emergency help point | Departure indicator screen","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles","Bus, Ferry",,,False
"Aberdeen Station",233610,-32.16710358,150.8920522,10101192,"02 6543 1018","Macqueen St, Aberdeen NSW 2336","Commuter car park | Emergency help point | No Opal card top up or single trip ticket sales","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Stairs",Train,6.00-10am,3.00-7pm,True
"Adamstown Station",228920,-32.93372988,151.7200807,10101159,"02 4962 9295","Park Ave, Adamstown NSW 2289","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Bike racks | Emergency help point | Information point | Payphone | No Opal card top up or single trip ticket sales","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Level crossing | Stairs | Lift","Train, Bus",6.00-10am,3.00-7pm,True
"Adelaide Central Bus Station",50001,-34.92748,138.595501,10150217,,"Franklin St, Adelaide SA 5000",,,"Regional coach",,,False
"Adelong Coach Stop",27291,-35.308251,148.063498,10150152,,"Neill St at Tumut St, Adelong NSW 2729",,,Coach,,,False
"Albion Park Station",252710,-34.56264671,150.7984997,10101381,"02 4223 5416","Princes Hwy, Albion Park Rail NSW 2527","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Bike racks | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | Opal card top up or single trip ticket machine (Card Payment only)","This location is Assisted Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Level crossing | Stairs","Train, Bus",6.00-10am,3.00-7pm,True
"Albury QEII Square",26403,-36.080795,146.917218,10155845,,"QEII Square, Dean St, Albury NSW 2640",,,"Bus, Coach",,,False
"Albury Station",26401,-36.084068,146.924691,10155026,"13 22 32","Railway Pl, East Albury NSW 2640","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Taxi rank | Bike racks | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Information point | Payphone | Departure indicator screen","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | Hearing loop (ticket counter) | PA system for announcements | Platform edge tactiles | Stairs","Train, Regional coach, Taxi",,,False
"Alectown Coach Stop",28703,-32.933121,148.240234,10150260,,"Goobang St before Cross St, Alectown NSW 2870",,,Coach,,,False
"Allawah Station",222020,-33.96958391,151.11433,10101338,"02 9563 7415","Railway Pde, Allawah NSW 2218","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Bike racks | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Cash or Card Payment)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus",6.30-10am,3.00-7pm,False
"Allworth Coach Stop",24253,-32.531345,151.944198,10150340,,"The Bucketts Way opp Allworth Rd, Allworth NSW 2425",,,Coach,,,False
"Alstonville Coach Stop",24771,-28.8418,153.44001,10150208,,"Main St at Daley St, Alstonville NSW 2477",,,Coach,,,False
"Ardlethan Coach Stop",26654,-34.357807,146.902563,10150175,,"Ariah St before Yithan St, Ardlethan NSW 2665",,,Coach,,,False
"Ariah Park Coach Stop",26651,-34.347706,147.221084,10150172,,"Ariah Park Post Office, Coolamon St, Ariah Park NSW 2665",,,Coach,,,False
"Arlington Light Rail",220322,-33.90184127,151.1380613,10101460,,"Constitution Rd, Dulwich Hill NSW 2203","Kiss and ride stopping area | Bike racks | Emergency help point","This location is Independent Access | Hearing loop | PA system for announcements | Platform edge tactiles | Level crossing | Stairs","Light rail",6.30-10am,3.00-7pm,False
"Armidale Station",23501,-30.515373,151.651753,10155025,"13 22 32","Brown St, Armidale NSW 2350","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Taxi rank | Bike racks | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Information point | Departure indicator screen","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Stairs","Train, Regional coach, Taxi",,,False
