note_id,note_text
"00001:17683:1","Train on [Platform 2] departing for [Tallawong]"
"00004:17683:12","This stop for [Macquarie Shopping Center]"
"00003:17683:21","Train terminates at this stop [Tallawong], please disembark"
"00001:17750:1","Train on [Platform 2] departing for [Sydenham]"
"00004:17750:10","This stop for [Macquarie Shopping Center]"
"00003:17750:21","Train terminates at this stop [Sydenham], please disembark"
"00001:17862:1","Train on [Platform 2] departing for [Sydenham]"
"00004:17862:10","This stop for [Macquarie Shopping Center]"
"00003:17862:21","Train terminates at this stop [Sydenham], please disembark"
"00001:17968:1","Train on [Platform 2] departing for [Sydenham]"
"00004:17968:10","This stop for [Macquarie Shopping Center]"
"00003:17968:21","Train terminates at this stop [Sydenham], please disembark"
"00001:17986:1","Train on [Platform 2] departing for [Sydenham]"
"00004:17986:10","This stop for [Macquarie Shopping Center]"
"00003:17986:21","Train terminates at this stop [Sydenham], please disembark"
"00001:19438:1","Train on [Platform 1] departing for [Tallawong]"
"00004:19438:12","This stop for [Macquarie Shopping Center]"
"00003:19438:21","Train terminates at this stop [Tallawong], please disembark"
"00001:19529:1","Train on [Platform 1] departing for [Tallawong]"
"00004:19529:12","This stop for [Macquarie Shopping Center]"
"00003:19529:21","Train terminates at this stop [Tallawong], please disembark"
"00001:19532:1","Train on [Platform 2] departing for [Sydenham]"
"00004:19532:10","This stop for [Macquarie Shopping Center]"
"00003:19532:21","Train terminates at this stop [Sydenham], please disembark"
"00001:19549:1","Train on [Platform 1] departing for [Tallawong]"
"00004:19549:12","This stop for [Macquarie Shopping Center]"
"00003:19549:21","Train terminates at this stop [Tallawong], please disembark"
"00001:19599:1","Train on [Platform 3] departing for [Sydenham]"
"00004:19599:10","This stop for [Macquarie Shopping Center]"
"00003:19599:21","Train terminates at this stop [Sydenham], please disembark"
"00001:19627:1","Train on [Platform 1] departing for [Tallawong]"
"00004:19627:12","This stop for [Macquarie Shopping Center]"
"00003:19627:21","Train terminates at this stop [Tallawong], please disembark"
"00001:19629:1","Train on [Platform 3] departing for [Sydenham]"
"00004:19629:10","This stop for [Macquarie Shopping Center]"
"00003:19629:21","Train terminates at this stop [Sydenham], please disembark"
"00001:45455:1","Train on [Platform 27] departing for [Martin Place]"
"00003:45455:3","Train terminates at this stop [Martin Place], please disembark"
"00001:45480:1","Train on [Platform 2] departing for [Sydenham]"
"00004:45480:10","This stop for [Macquarie Shopping Center]"
"00003:45480:21","Train terminates at this stop [Sydenham], please disembark"
"00001:45517:1","Train on [Platform 2] departing for [Martin Place]"
"00004:45517:10","This stop for [Macquarie Shopping Center]"
"00003:45517:17","Train terminates at this stop [Martin Place], please disembark"
"00001:45526:1","Train on [Platform 1] departing for [Tallawong]"
"00004:45526:12","This stop for [Macquarie Shopping Center]"
"00003:45526:21","Train terminates at this stop [Tallawong], please disembark"
"00001:45633:1","Train on [Platform 3] departing for [Sydenham]"
"00004:45633:10","This stop for [Macquarie Shopping Center]"
"00003:45633:21","Train terminates at this stop [Sydenham], please disembark"
"00001:45637:1","Train on [Platform 2] departing for [Sydenham]"
"00004:45637:10","This stop for [Macquarie Shopping Center]"
"00003:45637:21","Train terminates at this stop [Sydenham], please disembark"
"00001:45655:1","Train on [Platform 1] departing for [Tallawong]"
"00004:45655:12","This stop for [Macquarie Shopping Center]"
"00003:45655:21","Train terminates at this stop [Tallawong], please disembark"
"00001:45663:1","Train on [Platform 2] departing for [Sydenham]"
